PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1K506.1,65,0,WT,2016-01-19 10:15:37,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF8J014.1,1,0,WT,2015-08-05 13:56:22,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U015.1,1800,0,WT,2017-03-26 15:26:12,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U021.1,1800,0,WT,2017-03-26 15:13:54,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC4045.1,21,0,WT,2015-12-03 19:55:05,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFBD005.1,2,0,WT,2015-11-11 16:43:54,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U013.1,1800,0,WT,2017-03-26 15:26:12,
SG21,SNEA110190C0_SBT,A,A,ST11S0000009,UBFA6018.1,4301,0,HD,2015-10-06 14:40:39,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1D436.1,2,0,WT,2016-01-08 14:32:04,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF8C005.1,4,0,WT,2015-08-05 13:56:53,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U024.1,1800,0,WT,2017-03-26 15:13:54,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8014.1,36661,0,WT,2015-12-08 15:40:27,
SG21,SNEA110180C0_SBT,A,A,ST11S0000009,UBE7U003.1,4500,0,HD,2014-07-30 10:04:23,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG19573.1,3,0,WT,2016-01-08 14:30:15,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG19574.1,1,0,WT,2016-01-08 14:30:15,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC8009.1,71,0,WT,2015-12-06 10:55:18,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF5F009.1,1,0,WT,2015-05-13 14:21:07,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF69020.1,6,0,WT,2015-06-07 17:53:45,
SG21,NN30310AAVB,T,T,ST31S0000109,UCG1A849.1,1326,0,HD,2016-01-10 20:11:18,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8017.1,35441,0,WT,2015-12-08 15:37:57,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8016.1,36232,0,WT,2015-12-08 15:41:15,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8018.1,34032,0,WT,2015-12-08 15:40:04,
SG21,SNEA110120C0_SBT,A,A,ST11S0000009,UBF1N005.1,900,0,HD,2014-12-21 20:21:42,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7B019.1,1,0,WT,2015-07-10 14:49:54,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7B018.1,4,0,WT,2015-07-10 14:57:01,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEC8032.1,4,0,WT,2014-12-04 20:11:01,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U030.1,1800,0,WT,2017-03-26 16:14:34,
SG21,AN30195P_ASM,A,A,ST31S0000080,UCG2DAOY.1,17388,0,HD,2016-02-13 15:31:08,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFBN021.1,2,0,WT,2015-11-19 20:01:04,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFBO017.1,1,0,WT,2015-11-19 15:12:21,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7E021.1,8,0,WT,2015-07-13 10:38:55,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U016.1,1800,0,WT,2017-03-26 15:26:12,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U012.1,1483,0,WT,2017-03-26 15:26:12,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U025.1,1582,0,WT,2017-03-26 15:13:54,
SG21,CLN9705KC-V,A,A,ST49S0000030,UAG2R194.1,36184,0,WT,2016-02-27 09:54:49,
SG21,SNEA110120C0_SBT,A,A,ST11S0000013,UBECL003.1,690,0,HD,2014-12-21 20:21:42,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2E962.1,11,0,WT,2016-02-05 14:31:50,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2E960.1,5,0,WT,2016-02-05 14:32:15,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF77005.1,1,0,WT,2015-07-05 17:20:19,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF69019.1,15,0,WT,2015-06-07 17:53:45,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF69021.1,1,0,WT,2015-06-07 17:53:27,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF1M005.1,1,0,WT,2015-01-18 14:26:20,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEC8033.1,4,0,WT,2014-12-04 20:10:45,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEC8030.1,3,0,WT,2014-12-04 20:10:26,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U031.1,1800,0,WT,2017-03-26 16:14:34,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U028.1,1800,0,WT,2017-03-26 16:14:34,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U022.1,1800,0,WT,2017-03-26 15:13:54,
SG21,MN34081PL,A,A,(CCD)0917,UEH3V104.1,325,0,HELD,2017/03/13 12:49:15
,
SG21,MN34120PAJ,T,T,(CCD)0769,UEH3V085.1,101,0,RUN,2017/03/28 19:27:13
,
SG21,MN34120PAJR,T,T,(CCD)0769,UEH3V092.1,349,0,RUN,2017/02/26 13:38:50
,
SG21,MN34120PAJR,T,T,(CCD)0769,UEH3V093.1,1,0,RUN,2017/02/26 13:38:50
,
