PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3S004.1,19243,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3R007.1,19086,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3O028.1,19067,0,WT,03/23/2017,
SG21,QBSG-PA3-S500T,T,T,ST49S0000030,UAFC8003.1,35645,0,WT,12/08/2015,
SG21,QBSG-PA3-S498T,T,T,ST49S0000030,UAG2R008.1,36184,0,WT,02/27/2016,
SG21,QBSG-PA3-S518T,T,T,ST49S0000010,UAH3D008.1,64751,0,AC,03/04/2017,
SG21,QBSG-PA3-S518T,T,T,ST49S0000025,UAH3N009.1,0,62575,EW,03/04/2017,
SG21,QBSG-PA3-S515T,T,T,ST49S0000018,UAH3F024.1,329,0,WT,03/04/2017,
SG21,QBSG-PA3-S515T,T,T,ST49S0000005,UAH3F016.1,47570,0,WT,03/04/2017,
SG21,QBSG-PA3-S515T,T,T,ST49S0000025,UAH3A016.1,0,27769,EW,03/04/2017,
SG21,QBSG-PA3-S516T,T,T,ST49S0000030,UAGC5013.1,241,0,HD,12/04/2016,
SG21,QBSG-PA3-S516T,T,T,ST49S0000031,UAG5I029.1,56300,0,HD,05/12/2016,
SG21,MN864729-EB,T,T,ST31S0000109,UCH42065.1,4772,0,WT,03/30/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH41034.1,4765,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH44467.1,4457,0,HD,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000108,UCH43657.1,4772,0,WT,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000108,UCH46048.1,1587,0,WT,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000108,UCH42742.1,4775,0,WT,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH46607.1,4770,0,WT,03/30/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH3V552.1,4787,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH42071.1,1820,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH45619.1,4756,0,WT,03/30/2017,
SG21,QBSG-PA3-ASMS478A,A,A,ST31S0000085,UCH3U064.1,14560,0,AC,03/15/2017,
SG21,QBSG-PA3-ASM2S476A,A,A,ST31S0000087,UCH3T593.1,7280,0,WT,03/15/2017,
SG21,NN30332A-VB,T,T,ST31S0000109,UCH43898.1,3980,0,AC,03/27/2017,
SG21,NN30332A-VB,T,T,ST31S0000109,UCH3R536.1,3908,0,WT,03/27/2017,
SG21,NN30332A-VB,T,T,ST31S0000109,UCGA3736.1,1198,0,HD,10/03/2016,
SG21,NN30332A-VB,T,T,ST31S0000109,UCH3R534.1,3981,0,AC,03/27/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC063.1,1459,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH1U171.1,3207,0,HD,01/30/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH3V269.1,0,3335,EW,03/28/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH3V622.1,2579,0,WT,03/29/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH1C835.1,3664,0,HD,01/12/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC067.1,3457,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH1K699.1,3397,0,HD,01/20/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH3T539.1,3805,0,WT,03/29/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH1C836.1,3532,0,HD,01/12/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH3V108.1,3918,0,AC,03/29/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC035.1,2999,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGB4555.1,1512,0,HD,11/04/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAP610.1,2069,0,HD,10/25/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC057.1,2792,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH1U111.1,1939,0,HD,01/30/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH3T518.1,3713,0,WT,03/29/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC066.1,2876,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH2F496.1,1706,0,HD,02/15/2017,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4K666.1,1148,0,WT,04/20/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG43798.1,1252,0,HD,04/03/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG45503.1,1092,0,WT,04/05/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4K667.1,1449,0,WT,04/20/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4K670.1,2500,0,HD,04/20/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG5E834.1,1405,0,WT,05/14/2016,
